,original_index,word_count,parse_depth,fold_baseline,surprisal_baseline,fold_prosody,surprisal_prosody,sic
64,64,23,8,8,74.31428527832031,8,75.32412719726562,-1.0098419189453125
65,65,20,9,6,49.20189666748047,6,44.759742736816406,4.4421539306640625
66,66,54,13,9,180.60845947265625,9,173.2507781982422,7.3576812744140625
67,67,22,10,9,53.30915832519531,9,56.40213394165039,-3.092975616455078
68,68,9,6,6,19.76837158203125,6,17.267536163330078,2.500835418701172
69,69,30,12,3,56.709022521972656,3,52.1104736328125,4.598548889160156
70,70,44,16,1,104.03885650634766,1,100.21217346191406,3.8266830444335938
71,71,18,6,1,25.319448471069336,1,22.77029800415039,2.5491504669189453
72,72,31,11,6,69.21306610107422,6,69.30274963378906,-0.08968353271484375
73,73,26,9,8,83.38912200927734,8,84.59181213378906,-1.2026901245117188
74,74,9,9,9,25.23969841003418,9,22.567813873291016,2.671884536743164
75,75,61,12,2,172.8397979736328,2,169.92178344726562,2.9180145263671875
76,76,39,11,5,95.67352294921876,5,85.33110809326172,10.342414855957045
77,77,14,10,10,31.188066482543945,10,27.1752986907959,4.012767791748047
78,78,2,2,9,5.50898027420044,9,3.573751449584961,1.9352288246154794
79,79,15,9,8,70.21113586425781,8,70.88372039794922,-0.6725845336914062
80,80,18,8,3,53.21737289428711,3,52.547489166259766,0.6698837280273438
81,81,1,2,3,7.244029998779297,3,4.441004753112793,2.803025245666504
82,82,68,17,10,162.40371704101562,10,157.21371459960938,5.19000244140625
83,83,13,6,2,31.653583526611328,2,31.04705810546875,0.6065254211425781
84,84,17,8,7,49.85540008544922,7,49.13300323486328,0.7223968505859375
85,85,21,8,3,50.65054321289063,3,50.06827545166016,0.5822677612304688
86,86,47,12,2,102.45278930664062,2,103.93280029296876,-1.4800109863281392
87,87,30,14,6,80.73348999023438,6,79.49494934082031,1.2385406494140625
88,88,17,12,3,42.60171127319336,3,42.71205139160156,-0.11034011840820312
89,89,13,6,3,23.36381149291992,3,21.667999267578125,1.6958122253417933
90,90,21,8,3,39.57600402832031,3,36.08903503417969,3.486968994140625
91,91,8,6,5,25.460824966430664,5,21.35120391845703,4.109621047973633
