,original_index,word_count,parse_depth,fold_baseline,surprisal_baseline,fold_prosody,surprisal_prosody,sic
70,70,44,16,1,35.7639045715332,1,32.28129959106445,3.48260498046875
71,71,18,6,1,8.040114402770996,1,8.740110397338867,-0.6999959945678711
72,72,31,11,6,25.91925811767578,6,25.606372833251957,0.3128852844238246
73,73,26,9,8,32.594478607177734,8,32.96873092651367,-0.3742523193359375
74,74,9,9,9,8.277547836303711,9,8.191676139831543,0.08587169647216797
75,75,61,12,2,64.877197265625,2,62.90163040161133,1.9755668640136719
76,76,39,11,5,43.25892639160156,5,42.07086944580078,1.1880569458007812
77,77,14,10,10,10.69149112701416,10,9.482468605041504,1.2090225219726562
78,78,2,2,9,3.659482955932617,9,2.793851375579834,0.8656315803527832
79,79,15,9,8,26.155668258666992,8,25.95953369140625,0.1961345672607422
80,80,18,8,3,21.37873077392578,3,22.246923446655277,-0.8681926727294957
81,81,1,2,3,3.688875675201416,3,0.2866373062133789,3.402238368988037
82,82,68,17,10,64.28732299804688,10,59.60303497314453,4.684288024902344
83,83,13,6,2,9.919116020202637,2,9.013372421264648,0.9057435989379883
84,84,17,8,7,19.94988250732422,7,17.381519317626953,2.5683631896972656
85,85,21,8,3,14.08386516571045,3,13.920833587646484,0.16303157806396484
86,86,47,12,2,48.24176788330078,2,46.79352569580078,1.4482421875
87,87,30,14,6,26.933977127075195,6,26.733217239379883,0.2007598876953125
88,88,17,12,3,16.653270721435547,3,15.665611267089844,0.9876594543457031
89,89,13,6,3,10.074938774108888,3,8.906754493713379,1.1681842803955096
90,90,21,8,3,18.80251121520996,3,17.273588180541992,1.5289230346679688
91,91,8,6,5,7.705057144165039,5,6.5429301261901855,1.1621270179748535
92,92,4,4,3,3.3515641689300537,3,2.938075065612793,0.41348910331726074
93,93,20,11,9,18.9549560546875,9,17.54203224182129,1.412923812866211
94,94,16,6,7,20.675092697143555,7,18.710824966430664,1.9642677307128906
95,95,21,9,6,17.32387351989746,6,17.365684509277344,-0.04181098937988281
96,96,13,10,2,12.579233169555664,2,11.887279510498049,0.6919536590576154
97,97,30,13,10,31.21109962463379,10,29.588666915893555,1.6224327087402344
98,98,7,5,1,8.012874603271484,1,6.079071521759033,1.9338030815124512
99,99,34,16,4,28.41997718811035,4,26.2266902923584,2.193286895751953
100,100,40,11,4,37.38976287841797,4,37.8319091796875,-0.44214630126953125
101,101,14,7,4,11.768362045288086,4,11.891090393066406,-0.12272834777832031
102,102,26,14,5,35.562068939208984,5,34.506282806396484,1.0557861328125
103,103,33,24,1,31.945581436157227,1,30.810962677001957,1.1346187591552699
104,104,16,5,3,11.782370567321776,3,14.016118049621582,-2.2337474822998065
105,105,9,5,10,5.896517753601074,10,5.891861438751221,0.004656314849853516
106,106,12,7,8,8.811150550842285,8,7.0520219802856445,1.7591285705566406
107,107,24,13,2,24.12934684753418,2,22.11578369140625,2.0135631561279297
